value_rank,strength_rank,product_id,price,level,total_yellow,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,summary,security_summary
22,32,MCHKYJ,130,80,28,4.83,668.6,240.0,913.43,7.026,80级，28黄，14金角色，10金武器，1皮肤，4浮金波纹，8月相，数据坞等级26，0命守岸人，0命卡提希娅，0命千咲，0命夏空，0命坎特蕾拉，133星声，其它详情看图,能解绑Wegame 未绑定TAP 无换绑冷却
23,36,MC98A1,130,80,27,5.61,770.8,120.0,896.41,6.895,80级，27黄，16金角色，7金武器，1皮肤，数据坞等级25，898星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
24,24,MC8MF6,140,72,31,0.44,786.1,178.0,964.54,6.89,72级，31黄，15金角色，5金武器，1皮肤，9月相，数据坞等级25，70星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
25,31,MC0GCS,135,64,30,0.5,706.6,214.0,921.1,6.823,64级，30黄，15金角色，8金武器，9月相，数据坞等级27，80星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
26,12,MCGC31,160,80,36,7.79,761.3,320.0,1089.09,6.807,有个65抽的大保底 80级，36黄，14金角色，11金武器，1皮肤，300月相，数据坞等级28，0命守岸人，0命卡提希娅，0命坎特蕾拉，0命菲比，0命嘉贝莉娜，1246星声，其它详情看图,不能解绑Wegame 未绑定TAP 有换绑冷却
27,15,MC55R2,155,78,36,4.65,799.6,243.0,1047.25,6.756,78级，36黄，17金角色，7金武器，1皮肤，5铸潮波纹，数据坞等级30，104星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
28,39,MCHVKJ,132,65,26,6.97,710.2,160.0,877.17,6.645,,能解绑Wegame 未绑定TAP 无换绑冷却
29,45,MCCN04,120,71,30,2.56,555.6,239.0,797.16,6.643,71级，30黄，14金角色，9金武器，1皮肤，2铸潮波纹，数据坞等级28，0命弗洛洛，0命奥古斯塔，0命今汐，0命椿，0命珂莱塔，154星声，其它详情看图,未绑定Wegame 未绑定TAP 有换绑冷却
30,29,MCESSZ,140,80,32,8.58,737.1,184.0,929.68,6.641,80级，32黄，15金角色，8金武器，1皮肤，7铸潮波纹，数据坞等级25，476星声，其它详情看图,未绑定Wegame 未绑定TAP 有换绑冷却
31,18,MC2JXN,158,73,32,0.19,680.6,362.0,1042.79,6.6,73级，32黄，16金角色，12金武器，数据坞等级27，30星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
32,17,MCH4TN,160,79,29,4.86,768.35,270.0,1043.21,6.52,79级，29黄，16金角色，10金武器，数据坞等级30，777星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
33,43,MCERL3,125,72,32,1.26,591.6,220.0,812.86,6.503,72级，32黄，15金角色，9金武器，1皮肤，24月相，数据坞等级24，202星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
34,35,MC5MVZ,139,75,28,0.53,720.6,180.0,901.13,6.483,75级，28黄，16金角色，8金武器，数据坞等级24，84星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
35,25,MCCU7X,149,80,35,0.53,714.2,244.0,958.73,6.434,80级，35黄，17金角色，12金武器，数据坞等级28，85星声，其它详情看图,未绑定Wegame 未绑定TAP 有换绑冷却
36,21,MC7ACK,160,80,34,35.61,718.8,274.0,1028.41,6.428,80级，34黄，16金角色，10金武器，8浮金波纹，326月相，13铸潮波纹，数据坞等级24，2753星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
37,28,MC7KGM,150,80,32,0.56,687.6,242.0,930.16,6.201,80级，32黄，15金角色，8金武器，数据坞等级26，89星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
38,30,MCHUL5,150,71,28,8.41,765.6,154.0,928.01,6.187,71级，28黄，14金角色，7金武器，9月相，10铸潮波纹，数据坞等级29，0命莫宁，0命守岸人，0命千咲，0命尤诺，0命弗洛洛，66星声，其它详情看图,未绑定Wegame 未绑定TAP 有换绑冷却
39,49,MCC7ML,122,64,21,10.52,667.6,74.0,752.12,6.165,不会降价!我急用钱!谢谢理解除常驻角色一共12金 64级，21黄，15金角色，3金武器，5浮金波纹，数据坞等级26，883星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
40,34,MCEHQ4,150,73,35,9.93,647.6,253.0,910.53,6.07,73级，35黄，17金角色，9金武器，6浮金波纹，数据坞等级28，628星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
41,26,MCFXRQ,160,76,39,0.76,712.3,230.0,943.06,5.894,可以砍价 76级，39黄，14金角色，7金武器，数据坞等级30，0命莫宁，0命卡提希娅，0命夏空，1命仇远，1命今汐，121星声，其它详情看图,不能解绑Wegame 未绑定TAP 无换绑冷却
42,38,MC0QQV,150,80,44,7.41,621.8,250.0,879.21,5.861,80级，44黄，17金角色，10金武器，1皮肤，5浮金波纹，18月相，1铸潮波纹，数据坞等级24，257星声，其它详情看图,未绑定Wegame 不送TAP 无换绑冷却
43,51,MC4JNA,122,75,29,8.44,450.4,254.0,712.84,5.843,75级，29黄，14金角色，10金武器，6浮金波纹，6唤声涡纹，数据坞等级24，391星声，其它详情看图,能解绑Wegame 未绑定TAP 无换绑冷却
44,47,MC7DG1,130,67,25,0.59,589.6,168.0,758.19,5.832,67级，25黄，14金角色，6金武器，数据坞等级27，0命卡提希娅，0命尤诺，0命奥古斯塔，0命坎特蕾拉，0命菲比，95星声，其它详情看图,未绑定Wegame 未绑定TAP 有换绑冷却
45,33,MCB7UZ,159,76,36,18.0,666.15,229.0,913.15,5.743,76级，36黄，15金角色，9金武器，1月相，数据坞等级29，2880星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
46,40,MC21SN,153,73,26,0.19,681.8,180.0,861.99,5.634,73级，26黄，14金角色，7金武器，2皮肤，2唤声涡纹，数据坞等级25，31星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
47,50,MC8F5C,131,72,25,0.0,495.6,240.0,735.6,5.615,72级，25黄，14金角色，9金武器，1皮肤，3唤声涡纹，数据坞等级23，0星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
48,41,MCGQGD,150,75,32,0.81,593.6,234.0,828.41,5.523,75级，32黄，15金角色，10金武器，1皮肤，数据坞等级25，130星声，其它详情看图,未绑定Wegame 未绑定TAP 有换绑冷却
49,52,MC1LQZ,130,68,23,7.49,507.6,190.0,705.09,5.424,68级，23黄，14金角色，7金武器，1浮金波纹，数据坞等级24，0命守岸人，0命仇远，0命赞妮，0命嘉贝莉娜，1命今汐，1039星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
50,46,MCANT7,150,80,30,6.62,489.6,272.0,768.22,5.121,80级，30黄，14金角色，10金武器，300月相，7铸潮波纹，数据坞等级30，0命守岸人，0命卡提希娅，0命千咲，0命长离，0命今汐，163星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
51,42,MCH6MD,160,80,40,0.33,642.8,174.0,817.13,5.107,80级，40黄，18金角色，9金武器，1皮肤，87月相，数据坞等级25，52星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
52,53,MCEQ82,138,74,30,2.04,531.9,170.0,703.94,5.101,74级，30黄，15金角色，7金武器，1皮肤，2浮金波纹，9月相，数据坞等级25，6星声，其它详情看图,未绑定Wegame 未绑定TAP 有换绑冷却
53,44,MC3Q8U,158,77,32,13.42,571.4,220.0,804.82,5.094,77级，32黄，16金角色，9金武器，1皮肤，2浮金波纹，9月相，6铸潮波纹，数据坞等级25，1059星声，其它详情看图,能解绑Wegame 未绑定TAP 无换绑冷却
54,54,MC49PJ,135,80,31,0.75,479.6,200.0,680.35,5.04,80级，31黄，14金角色，9金武器，1唤声涡纹，数据坞等级24，120星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
55,48,MC95Y4,158,73,29,11.56,521.95,220.0,753.51,4.769,73级，29黄，15金角色，9金武器，2浮金波纹，数据坞等级26，1529星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
56,56,MC691P,145,69,23,9.68,526.6,80.0,616.28,4.25,69级，23黄，14金角色，4金武器，2皮肤，数据坞等级24，0命琳奈，0命赞妮，0命今汐，1命椿，0命珂莱塔，1548星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
57,57,MC2GLP,0,0,0,0.0,0.0,0.0,0.0,0.0,,
58,58,MCGAPY,0,0,0,0.0,0.0,0.0,0.0,0.0,,
59,59,MCG66G,0,0,0,0.0,0.0,0.0,0.0,0.0,,
60,60,MC3AKE,0,0,0,0.0,0.0,0.0,0.0,0.0,,
61,61,MC38PZ,0,0,0,0.0,0.0,0.0,0.0,0.0,,
62,62,MC1E9V,0,0,0,0.0,0.0,0.0,0.0,0.0,,
63,63,MC86Q4,0,0,0,0.0,0.0,0.0,0.0,0.0,,
64,64,MCDWK2,0,0,0,0.0,0.0,0.0,0.0,0.0,,
65,65,MC6EAK,0,0,0,0.0,0.0,0.0,0.0,0.0,,
66,66,MCH4QE,0,0,0,0.0,0.0,0.0,0.0,0.0,,
67,67,MC8N2V,0,0,0,0.0,0.0,0.0,0.0,0.0,,
68,68,MC0Q05,0,0,0,0.0,0.0,0.0,0.0,0.0,,
69,69,MC4K9D,0,0,0,0.0,0.0,0.0,0.0,0.0,,
70,70,MCA6F9,0,0,0,0.0,0.0,0.0,0.0,0.0,,
71,71,MC1T96,0,0,0,0.0,0.0,0.0,0.0,0.0,,
72,72,MC8H16,0,0,0,0.0,0.0,0.0,0.0,0.0,,
73,73,MCEUYB,0,0,0,0.0,0.0,0.0,0.0,0.0,,
74,74,MCHKTB,0,0,0,0.0,0.0,0.0,0.0,0.0,,
75,75,MC28W6,0,0,0,0.0,0.0,0.0,0.0,0.0,,
76,76,MCAEK4,0,0,0,0.0,0.0,0.0,0.0,0.0,,
77,77,MC29JZ,0,0,0,0.0,0.0,0.0,0.0,0.0,,
78,78,MC4SF7,0,0,0,0.0,0.0,0.0,0.0,0.0,,
79,79,MC92PV,0,0,0,0.0,0.0,0.0,0.0,0.0,,
80,80,MC4K1N,0,0,0,0.0,0.0,0.0,0.0,0.0,,
81,81,MCB8QS,0,0,0,0.0,0.0,0.0,0.0,0.0,,
82,82,MC4KEU,0,0,0,0.0,0.0,0.0,0.0,0.0,,
83,83,MCC7XG,0,0,0,0.0,0.0,0.0,0.0,0.0,,
84,84,MC5VDP,0,0,0,0.0,0.0,0.0,0.0,0.0,,
85,85,MC9T5Z,0,0,0,0.0,0.0,0.0,0.0,0.0,,
86,86,MCAD8V,0,0,0,0.0,0.0,0.0,0.0,0.0,,
87,87,MCEQ64,0,0,0,0.0,0.0,0.0,0.0,0.0,,
88,88,MC9Y04,0,0,0,0.0,0.0,0.0,0.0,0.0,,
89,89,MCBXEM,0,0,0,0.0,0.0,0.0,0.0,0.0,,
90,90,MCCS4E,0,0,0,0.0,0.0,0.0,0.0,0.0,,
91,91,MCGMNA,0,0,0,0.0,0.0,0.0,0.0,0.0,,
92,92,MC1GRX,0,0,0,0.0,0.0,0.0,0.0,0.0,,
93,93,MCC3YR,0,0,0,0.0,0.0,0.0,0.0,0.0,,
94,94,MC3F6V,0,0,0,0.0,0.0,0.0,0.0,0.0,,
95,95,MCB6FQ,0,0,0,0.0,0.0,0.0,0.0,0.0,,
96,96,MCCBL2,0,0,0,0.0,0.0,0.0,0.0,0.0,,
97,97,MC1LTX,0,0,0,0.0,0.0,0.0,0.0,0.0,,
98,98,MC34QS,0,0,0,0.0,0.0,0.0,0.0,0.0,,
99,99,MCEBYS,0,0,0,0.0,0.0,0.0,0.0,0.0,,
100,100,MCCXGU,0,0,0,0.0,0.0,0.0,0.0,0.0,,
