rank,product_id,price,level,total_yellow,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,matched_tier_roles,unmatched_roles_count,tier_breakdown,weapon_breakdown
11,33672237,130,80,33,0.66,778.60,254.00,1033.26,7.948,13,14,散华:T2@6鸣=33.6 | 维里奈:T1@2鸣=68.0 | 珂莱塔:T1@1鸣=77.0 | 今汐:T2@1鸣=14.0 | 琳奈:T0@0鸣=111.0 | 千咲:T0.5@0鸣=90.0 | 弗洛洛:T0.5@0鸣=99.0 | 卡提希娅:T0.5@0鸣=89.0 | 椿:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 长离:T1@0鸣=28.0 | 卜灵:T2@0鸣=5.0,不屈命定之冠:signature->卡提希娅@2鸣=70.0 | 千古洑流:signature->今汐@2鸣=14.0 | 死与舞:signature->珂莱塔@1鸣=30.0 | 裁春:signature->椿@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0
12,35727655,130,68,21,28.18,664.15,320.00,1012.32,7.787,8,12,散华:T2@6鸣=33.6 | 卜灵:T2@4鸣=10.75 | 绯雪:T0@1鸣=155.4 | 西格莉卡:T0@1鸣=155.4 | 维里奈:T1@1鸣=56.0 | 千咲:T0.5@0鸣=90.0 | 仇远:T1@0鸣=55.0 | 守岸人:T0@0鸣=108.0,灼霜:signature->绯雪@1鸣=60.0 | 昭日译注:signature->西格莉卡@1鸣=60.0 | 昙切:signature->千咲@1鸣=50.0 | 星序协响:signature->守岸人@1鸣=60.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 擎渊怒涛:standard->常驻@1鸣=20.0 | 擎渊怒涛:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
13,35939793,126,73,38,3.24,653.40,293.00,949.64,7.537,12,4,相里要:T2@1鸣=22.4 | 维里奈:T1@1鸣=56.0 | 琳奈:T0@0鸣=111.0 | 仇远:T1@0鸣=55.0 | 嘉贝莉娜:T0.5@0鸣=70.0 | 尤诺:T0.5@0鸣=79.0 | 珂莱塔:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 折枝:T2@0鸣=19.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0,血誓盟约:standard->常驻@5鸣=43.0 | 溢彩荧辉:signature->琳奈@1鸣=60.0 | 源能机锋:standard->常驻@1鸣=20.0 | 光影双生:signature->嘉贝莉娜@1鸣=50.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 琼枝冰绡:signature->折枝@1鸣=10.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
14,35257796,130,75,30,1.29,730.60,243.00,974.89,7.499,10,13,散华:T2@6鸣=33.6 | 仇远:T1@2鸣=93.5 | 卜灵:T2@2鸣=8.5 | 嘉贝莉娜:T0.5@1鸣=98.0 | 维里奈:T1@1鸣=56.0 | 绯雪:T0@0鸣=111.0 | 西格莉卡:T0@0鸣=111.0 | 千咲:T0.5@0鸣=90.0 | 卡提希娅:T0.5@0鸣=89.0 | 椿:T1@0鸣=40.0,血誓盟约:standard->常驻@5鸣=43.0 | 裁竹:signature->仇远@1鸣=30.0 | 光影双生:signature->嘉贝莉娜@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 裁春:signature->椿@1鸣=30.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
15,35892961,105,65,26,0.54,531.00,250.00,781.54,7.443,10,2,琳奈:T0@0鸣=111.0 | 卡提希娅:T0.5@0鸣=89.0 | 夏空:T1@0鸣=55.0 | 珂莱塔:T1@0鸣=55.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0 | 维里奈:T1@0鸣=40.0,死与舞:signature->珂莱塔@2鸣=42.0 | 血誓盟约:standard->常驻@2鸣=28.0 | 溢彩荧辉:signature->琳奈@1鸣=60.0 | 赫奕流明:signature->长离@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 擎渊怒涛:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
16,30273015,110,80,35,0.00,515.60,302.00,817.60,7.433,9,15,散华:T2@6鸣=33.6 | 椿:T1@2鸣=68.0 | 今汐:T2@1鸣=14.0 | 维里奈:T1@1鸣=56.0 | 千咲:T0.5@0鸣=90.0 | 奥古斯塔:T0.5@0鸣=99.0 | 守岸人:T0@0鸣=108.0 | 折枝:T2@0鸣=19.0 | 长离:T1@0鸣=28.0,漪澜浮录:standard->常驻@3鸣=34.0 | 时和岁稔:standard->常驻@2鸣=28.0 | 驭冕铸雷之权:signature->奥古斯塔@1鸣=50.0 | 裁春:signature->椿@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 琼枝冰绡:signature->折枝@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 擎渊怒涛:standard->常驻@1鸣=20.0
17,35945317,144,71,33,9.56,785.60,264.00,1059.16,7.355,11,3,维里奈:T1@2鸣=68.0 | 卡提希娅:T0.5@1鸣=124.6 | 赞妮:T1@1鸣=56.0 | 坎特蕾拉:T1@1鸣=77.0 | 琳奈:T0@0鸣=111.0 | 千咲:T0.5@0鸣=90.0 | 仇远:T1@0鸣=55.0 | 奥古斯塔:T0.5@0鸣=99.0 | 菲比:T1@0鸣=40.0 | 珂莱塔:T1@0鸣=55.0 | 今汐:T2@0鸣=10.0,血誓盟约:standard->常驻@3鸣=34.0 | 相位涟漪:standard->常驻@1鸣=20.0 | 昙切:signature->千咲@1鸣=50.0 | 裁竹:signature->仇远@1鸣=30.0 | 海的呢喃:signature->坎特蕾拉@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 擎渊怒涛:standard->常驻@1鸣=20.0
18,35777377,130,76,24,4.15,636.80,299.00,939.95,7.230,8,12,维里奈:T1@2鸣=68.0 | 散华:T2@2鸣=23.8 | 坎特蕾拉:T1@1鸣=77.0 | 西格莉卡:T0@0鸣=111.0 | 千咲:T0.5@0鸣=90.0 | 尤诺:T0.5@0鸣=79.0 | 奥古斯塔:T0.5@0鸣=99.0 | 卡提希娅:T0.5@0鸣=89.0,血誓盟约:standard->常驻@4鸣=39.0 | 永远的启明星:signature->爱弥斯@1鸣=60.0 | 昙切:signature->千咲@1鸣=50.0 | 万物持存的注释:signature->尤诺@1鸣=50.0 | 驭冕铸雷之权:signature->奥古斯塔@1鸣=50.0 | 海的呢喃:signature->坎特蕾拉@1鸣=30.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0
19,35487773,150,80,32,3.08,829.35,248.00,1080.43,7.203,14,14,散华:T2@6鸣=33.6 | 卜灵:T2@4鸣=10.75 | 今汐:T2@1鸣=14.0 | 维里奈:T1@1鸣=56.0 | 绯雪:T0@0鸣=111.0 | 西格莉卡:T0@0鸣=111.0 | 琳奈:T0@0鸣=111.0 | 尤诺:T0.5@0鸣=79.0 | 奥古斯塔:T0.5@0鸣=99.0 | 露帕:T0.5@0鸣=70.0 | 卡提希娅:T0.5@0鸣=89.0 | 折枝:T2@0鸣=19.0 | 吟霖:T2@0鸣=7.0 | 忌炎:T2@0鸣=19.0,相位涟漪:standard->常驻@2鸣=28.0 | 昭日译注:signature->西格莉卡@1鸣=60.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 擎渊怒涛:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
20,34964442,125,63,21,60.86,693.40,139.00,893.26,7.146,9,13,散华:T2@6鸣=33.6 | 卡提希娅:T0.5@2鸣=151.3 | 卜灵:T2@2鸣=8.5 | 西格莉卡:T0@0鸣=111.0 | 莫宁:T0.5@0鸣=75.0 | 琳奈:T0@0鸣=111.0 | 夏空:T1@0鸣=55.0 | 守岸人:T0@0鸣=108.0 | 维里奈:T1@0鸣=40.0,血誓盟约:standard->常驻@4鸣=39.0 | 脉冲协臂:standard->常驻@1鸣=20.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
21,31084142,80,53,18,3.36,350.30,210.00,563.66,7.046,6,13,散华:T2@3鸣=27.3 | 维里奈:T1@1鸣=56.0 | 嘉贝莉娜:T0.5@0鸣=70.0 | 尤诺:T0.5@0鸣=79.0 | 奥古斯塔:T0.5@0鸣=99.0 | 忌炎:T2@0鸣=19.0,万物持存的注释:signature->尤诺@1鸣=50.0 | 驭冕铸雷之权:signature->奥古斯塔@1鸣=50.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 擎渊怒涛:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
22,35936781,100,66,20,5.81,532.30,150.00,688.11,6.881,8,13,弗洛洛:T0.5@2鸣=168.3 | 维里奈:T1@1鸣=56.0 | 达妮娅:T0.5@0鸣=85.0 | 嘉贝莉娜:T0.5@0鸣=70.0 | 尤诺:T0.5@0鸣=79.0 | 坎特蕾拉:T1@0鸣=55.0 | 卜灵:T2@0鸣=5.0 | 散华:T2@0鸣=14.0,万物持存的注释:signature->尤诺@1鸣=50.0 | 幽冥的忘忧章:signature->弗洛洛@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
23,35632501,150,74,26,0.68,872.75,153.00,1026.42,6.843,11,13,散华:T2@6鸣=33.6 | 卜灵:T2@4鸣=10.75 | 爱弥斯:T0@1鸣=155.4 | 维里奈:T1@1鸣=56.0 | 绯雪:T0@0鸣=111.0 | 莫宁:T0.5@0鸣=75.0 | 千咲:T0.5@0鸣=90.0 | 尤诺:T0.5@0鸣=79.0 | 弗洛洛:T0.5@0鸣=99.0 | 坎特蕾拉:T1@0鸣=55.0 | 守岸人:T0@0鸣=108.0,血誓盟约:standard->常驻@5鸣=43.0 | 永远的启明星:signature->爱弥斯@1鸣=60.0 | 脉冲协臂:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
24,34557961,135,78,33,7.25,589.70,318.00,914.95,6.777,11,14,散华:T2@6鸣=33.6 | 卜灵:T2@2鸣=8.5 | 弗洛洛:T0.5@1鸣=138.6 | 陆·赫斯:T0.5@0鸣=70.0 | 仇远:T1@0鸣=55.0 | 夏空:T1@0鸣=55.0 | 布兰特:T1@0鸣=46.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 忌炎:T2@0鸣=19.0 | 维里奈:T1@0鸣=40.0,血誓盟约:standard->常驻@2鸣=28.0 | 相位涟漪:standard->常驻@1鸣=20.0 | 裁竹:signature->仇远@1鸣=30.0 | 裁竹:signature->仇远@1鸣=30.0 | 幽冥的忘忧章:signature->弗洛洛@1鸣=50.0 | 不灭航路:signature->布兰特@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
25,35231183,120,70,25,9.64,530.05,273.00,812.69,6.772,6,12,散华:T2@6鸣=33.6 | 卜灵:T2@4鸣=10.75 | 维里奈:T1@3鸣=78.0 | 绯雪:T0@2鸣=188.7 | 琳奈:T0@0鸣=111.0 | 守岸人:T0@0鸣=108.0,血誓盟约:standard->常驻@5鸣=43.0 | 灼霜:signature->绯雪@1鸣=60.0 | 溢彩荧辉:signature->琳奈@1鸣=60.0 | 星序协响:signature->守岸人@1鸣=60.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
26,34783782,60,62,17,0.44,296.20,108.00,404.64,6.744,7,14,散华:T2@5鸣=32.2 | 尤诺:T0.5@0鸣=79.0 | 露帕:T0.5@0鸣=70.0 | 赞妮:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 忌炎:T2@0鸣=19.0 | 维里奈:T1@0鸣=40.0,浩境粼光:standard->常驻@2鸣=28.0 | 万物持存的注释:signature->尤诺@1鸣=50.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0
27,35208178,137,67,28,0.00,651.10,270.00,921.10,6.723,8,13,散华:T2@6鸣=33.6 | 嘉贝莉娜:T0.5@3鸣=136.5 | 维里奈:T1@3鸣=78.0 | 千咲:T0.5@0鸣=90.0 | 弗洛洛:T0.5@0鸣=99.0 | 露帕:T0.5@0鸣=70.0 | 卡提希娅:T0.5@0鸣=89.0 | 夏空:T1@0鸣=55.0,玻色星仪:standard->常驻@1鸣=20.0 | 昙切:signature->千咲@1鸣=50.0 | 光影双生:signature->嘉贝莉娜@1鸣=50.0 | 焰痕:signature->露帕@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
28,35417411,130,73,31,1.55,619.20,250.00,870.75,6.698,12,14,散华:T2@6鸣=33.6 | 珂莱塔:T1@1鸣=77.0 | 忌炎:T2@1鸣=26.6 | 维里奈:T1@1鸣=56.0 | 爱弥斯:T0@0鸣=111.0 | 嘉贝莉娜:T0.5@0鸣=70.0 | 坎特蕾拉:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 吟霖:T2@0鸣=7.0,永远的启明星:signature->爱弥斯@1鸣=60.0 | 相位涟漪:standard->常驻@1鸣=20.0 | 裁春:signature->椿@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
29,28539238,110,80,29,0.00,451.60,284.00,735.60,6.687,10,14,散华:T2@6鸣=33.6 | 奥古斯塔:T0.5@0鸣=99.0 | 坎特蕾拉:T1@0鸣=55.0 | 珂莱塔:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0,千古洑流:signature->今汐@2鸣=14.0 | 和光回唱:signature->菲比@1鸣=30.0 | 死与舞:signature->珂莱塔@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 星序协响:signature->守岸人@1鸣=60.0 | 琼枝冰绡:signature->折枝@1鸣=10.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 擎渊怒涛:standard->常驻@1鸣=20.0
30,35347934,150,80,38,18.65,679.10,300.00,997.75,6.652,12,14,散华:T2@6鸣=33.6 | 露帕:T0.5@3鸣=136.5 | 维里奈:T1@2鸣=68.0 | 赞妮:T1@1鸣=56.0 | 琳奈:T0@0鸣=111.0 | 嘉贝莉娜:T0.5@0鸣=70.0 | 布兰特:T1@0鸣=46.0 | 菲比:T1@0鸣=40.0 | 珂莱塔:T1@0鸣=55.0 | 相里要:T2@0鸣=16.0 | 长离:T1@0鸣=28.0 | 忌炎:T2@0鸣=19.0,相位涟漪:standard->常驻@1鸣=20.0 | 光影双生:signature->嘉贝莉娜@1鸣=50.0 | 焰痕:signature->露帕@1鸣=50.0 | 焰光裁定:signature->赞妮@1鸣=30.0 | 不灭航路:signature->布兰特@1鸣=30.0 | 和光回唱:signature->菲比@1鸣=30.0 | 赫奕流明:signature->长离@1鸣=30.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
31,35923649,140,72,32,1.35,642.30,277.00,920.65,6.576,11,13,卜灵:T2@6鸣=12.0 | 散华:T2@6鸣=33.6 | 绯雪:T0@2鸣=188.7 | 维里奈:T1@1鸣=56.0 | 莫宁:T0.5@0鸣=75.0 | 尤诺:T0.5@0鸣=79.0 | 卡提希娅:T0.5@0鸣=89.0 | 赞妮:T1@0鸣=40.0 | 菲比:T1@0鸣=40.0 | 今汐:T2@0鸣=10.0 | 忌炎:T2@0鸣=19.0,血誓盟约:standard->常驻@5鸣=43.0 | 千古洑流:signature->今汐@2鸣=14.0 | 灼霜:signature->绯雪@1鸣=60.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 焰光裁定:signature->赞妮@1鸣=30.0 | 和光回唱:signature->菲比@1鸣=30.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 停驻之烟:standard->常驻@1鸣=20.0
32,33962162,80,46,24,0.78,293.60,230.00,524.38,6.555,9,13,散华:T2@6鸣=33.6 | 仇远:T1@0鸣=55.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0 | 维里奈:T1@0鸣=40.0 | 卜灵:T2@0鸣=5.0,镭射切变:standard->常驻@1鸣=20.0 | 裁竹:signature->仇远@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
33,35695176,60,44,12,10.09,295.20,80.00,385.29,6.421,6,12,散华:T2@5鸣=32.2 | 维里奈:T1@1鸣=56.0 | 嘉贝莉娜:T0.5@0鸣=70.0 | 守岸人:T0@0鸣=108.0 | 今汐:T2@0鸣=10.0 | 忌炎:T2@0鸣=19.0,星序协响:signature->守岸人@1鸣=60.0 | 时和岁稔:standard->常驻@1鸣=20.0
