rank,product_id,price,area_name,level,total_yellow,char5,weapon5,star_voice,fj_waves,zc_waves,hs_waves,wave_pulls,pulls_total,equiv_pulls_total,equiv_pulls_per_rmb,role_resonance,weapon_resonance,sub_title
11,31084142,80,官服,53,18,8,9,26,0,4,3,7,7.16,1232.16,15.402,6鸣x4 5鸣x3 4鸣x1 3鸣x1 2鸣x1 1鸣x2 0鸣x7,1鸣x9,联觉等级:53 总黄数:18 星声数量:26 浮金波纹数量:0 铸潮波纹数量:4 唤声涡纹数量:3 五星角色数:8 1鸣维里奈，0鸣嘉贝莉娜，0鸣尤诺，0鸣奥古斯塔，0鸣忌炎，0鸣鉴心，0鸣卡卡罗，0鸣安可 6鸣釉瑚，6鸣莫特斐，6鸣秋水，6鸣炽霞，5鸣桃祈，5鸣渊武，5鸣秧秧，4鸣白芷，3鸣散华，2鸣丹瑾，1鸣灯灯 五星武器数:9 1鸣万物持存的注释，1鸣驭冕铸雷之权，1鸣苍鳞千嶂，1鸣血誓盟约，1鸣千古洑流，1鸣停驻之烟，1鸣擎渊怒涛，1鸣漪澜浮录 卖家说:日月双c
12,35706803,130,官服,75,35,15,11,10,0,0,0,0,0.06,1915.06,14.731,6鸣x7 5鸣x1 4鸣x2 3鸣x3 1鸣x1 0鸣x13,5鸣x1 2鸣x1 1鸣x9,联觉等级:75 总黄数:35 五星角色数:15 五星武器数:11 3鸣安可，1鸣鉴心，0鸣绯雪，0鸣千咲，0鸣弗洛洛，0鸣卡提希娅，0鸣赞妮，0鸣守岸人，0鸣相里要，0鸣折枝，0鸣长离，0鸣今汐，0鸣吟霖，0鸣维里奈，0鸣凌阳 6鸣桃祈，6鸣渊武，6鸣丹瑾，6鸣秋水，6鸣炽霞，6鸣白芷，6鸣秧秧，5鸣卜灵，4鸣莫特斐，4鸣散华，3鸣灯灯，3鸣釉瑚 5鸣血誓盟约，2鸣千古洑流，1鸣灼霜，1鸣相位涟漪，1鸣昙切，1鸣不屈命定之冠，1鸣焰光裁定，1鸣星序协响，1鸣琼枝冰绡，1鸣赫奕流明，1鸣时和岁稔 卖家说:自玩号，月卡还有两天
13,35892961,105,官服,65,26,12,9,86,0,0,0,0,0.54,1545.54,14.719,3鸣x1 0鸣x11,2鸣x2 1鸣x7,"65级/26黄/男主/12个五星角色/9个五星武器
未绑定,夏空,卡提希娅,琳奈,今汐,珂莱塔,长离,守岸人,相里要,折枝,维里奈,鉴心,凌阳,溢彩荧辉,血誓盟约,死与舞,赫奕流明,时和岁稔,浩境粼光,千古洑流,擎渊怒涛,漪澜浮录,3命鉴心,0命夏空,0命卡提希娅,0命琳奈,0命今汐,0命珂莱塔,0命长离,0命守岸人,0命相里要,0命折枝,0命维里奈,0命凌阳,精2血誓盟约,精2死与舞,精1溢彩荧辉,精1赫奕流明,精1时和岁稔,精1浩境粼光,精1千古洑流,精1擎渊怒涛,精1漪澜浮录"
14,8107396,80,官服,70,18,9,7,0,0,0,0,0,0.00,1175.00,14.688,1鸣x2 0鸣x7,1鸣x7,"70级/18黄/女主/9个五星角色/7个五星武器
未绑定,今汐,忌炎,维里奈,卡卡罗,鉴心,凌阳,相里要,椿,珂莱塔,时和岁稔,苍鳞千嶂,千古洑流,漪澜浮录,裁春,诸方玄枢,死与舞,1命维里奈,1命凌阳,0命今汐,0命忌炎,0命卡卡罗,0命鉴心,0命相里要,0命椿,0命珂莱塔,精1时和岁稔,精1苍鳞千嶂,精1千古洑流,精1漪澜浮录,精1裁春,精1诸方玄枢,精1死与舞"
15,34531972,80,官服,70,18,9,7,0,0,0,0,0,0.00,1175.00,14.688,1鸣x2 0鸣x7,1鸣x7,70级/18黄/女主/9个五星角色/7个五星武器/未绑定/维里奈/凌阳/珂莱塔/椿/相里要/忌炎/今汐/卡卡罗/鉴心/诸方玄枢/死与舞/裁春/苍鳞千嶂/漪澜浮录/时和岁稔/千古洑流/1鸣维里奈/1鸣凌阳/0鸣珂莱塔/0鸣椿/0鸣相里要/0鸣忌炎/0鸣今汐/0鸣卡卡罗/0鸣鉴心/1鸣诸方玄枢/1鸣死与舞/1鸣裁春/1鸣苍鳞千嶂/1鸣漪澜浮录/1鸣时和岁稔/1鸣千古洑流
16,8107413,80,官服,55,17,9,6,0,0,0,0,0,0.00,1110.00,13.875,2鸣x1 0鸣x8,1鸣x6,"55级/17黄/男主/9个五星角色/6个五星武器
未绑定,长离,今汐,忌炎,维里奈,卡卡罗,安可,凌阳,相里要,菲比,赫奕流明,时和岁稔,苍鳞千嶂,千古洑流,擎渊怒涛,诸方玄枢,2命卡卡罗,0命长离,0命今汐,0命忌炎,0命维里奈,0命安可,0命凌阳,0命相里要,0命菲比,精1赫奕流明,精1时和岁稔,精1苍鳞千嶂,精1千古洑流,精1擎渊怒涛,精1诸方玄枢"
17,29859407,50,官服,45,13,7,2,0,0,0,0,0,0.00,690.00,13.800,6鸣x3 5鸣x1 4鸣x2 3鸣x1 2鸣x3 1鸣x4 0鸣x4,1鸣x2,联觉等级:45 总黄数:13 星声数量:109 浮金波纹数量:0 铸潮波纹数量:0 唤声涡纹数量:0 五星角色数:7 1鸣忌炎，1鸣卡卡罗，1鸣安可，1鸣维里奈，0鸣露帕，0鸣相里要，0鸣鉴心 6鸣渊武，6鸣炽霞，6鸣秧秧，5鸣白芷，4鸣莫特斐，4鸣丹瑾，3鸣秋水，2鸣灯灯，2鸣桃祈，2鸣散华，0鸣釉瑚 五星武器数:2 1鸣焰痕，1鸣血誓盟约
18,35417411,130,官服,73,31,15,9,248,0,0,0,0,1.55,1786.55,13.743,6鸣x8 5鸣x1 4鸣x1 2鸣x2 1鸣x5 0鸣x9,1鸣x9,联觉等级:73 总黄数:31 五星角色数:15 五星武器数:9 2鸣凌阳，1鸣珂莱塔，1鸣忌炎，1鸣鉴心，1鸣卡卡罗，1鸣维里奈，0鸣爱弥斯，0鸣嘉贝莉娜，0鸣坎特蕾拉，0鸣椿，0鸣守岸人，0鸣相里要，0鸣折枝，0鸣吟霖，0鸣安可 6鸣釉瑚，6鸣桃祈，6鸣渊武，6鸣秋水，6鸣散华，6鸣炽霞，6鸣白芷，6鸣秧秧，5鸣莫特斐，4鸣丹瑾，2鸣灯灯 1鸣永远的启明星，1鸣相位涟漪，1鸣裁春，1鸣星序协响，1鸣苍鳞千嶂，1鸣血誓盟约，1鸣千古洑流，1鸣停驻之烟，1鸣漪澜浮录
19,34849376,65,官服,58,16,7,3,5158,22,28,49,99,131.24,886.24,13.634,6鸣x2 5鸣x1 2鸣x2 1鸣x4 0鸣x9,5鸣x1 1鸣x2,联觉等级:58 总黄数:16 五星角色数:7 五星武器数:3 2鸣维里奈，0鸣西格莉卡，0鸣千咲，0鸣菲比，0鸣卡卡罗，0鸣安可，0鸣凌阳 6鸣桃祈，6鸣渊武，5鸣散华，2鸣秋水，1鸣莫特斐，1鸣炽霞，1鸣白芷，1鸣秧秧，0鸣灯灯，0鸣釉瑚，0鸣丹瑾 5鸣血誓盟约，1鸣昙切，1鸣和光回唱 卖家说:0+1千咲 0+1菲比 西格莉卡
20,34557961,135,官服,78,33,13,12,264,0,7,0,7,8.65,1828.65,13.546,6鸣x10 4鸣x1 2鸣x4 1鸣x1 0鸣x9,2鸣x1 1鸣x11,联觉等级:78 总黄数:33 五星角色数:13 五星武器数:12 2鸣鉴心，2鸣卡卡罗，2鸣凌阳，1鸣弗洛洛，0鸣陆·赫斯，0鸣仇远，0鸣夏空，0鸣布兰特，0鸣守岸人，0鸣相里要，0鸣忌炎，0鸣安可，0鸣维里奈 6鸣灯灯，6鸣釉瑚，6鸣桃祈，6鸣渊武，6鸣莫特斐，6鸣丹瑾，6鸣秋水，6鸣散华，6鸣炽霞，6鸣秧秧，4鸣白芷，2鸣卜灵 2鸣血誓盟约，1鸣相位涟漪，1鸣裁竹，1鸣幽冥的忘忧章，1鸣不灭航路，1鸣星序协响，1鸣诸方玄枢，1鸣苍鳞千嶂，1鸣千古洑流，1鸣停驻之烟，1鸣漪澜浮录 卖家说:鸣潮78级账号
21,34537161,120,官服,77,24,13,9,0,0,0,0,0,0.00,1625.00,13.542,1鸣x2 0鸣x11,1鸣x9,77级/24黄/女主/13个五星角色/9个五星武器/WeGame已绑定/维里奈/卡卡罗/菲比/守岸人/相里要/折枝/长离/今汐/吟霖/忌炎/安可/凌阳/鉴心/和光回唱/星序协响/琼枝冰绡/掣傀之手/漪澜浮录/诸方玄枢/赫奕流明/苍鳞千嶂/千古洑流/1鸣维里奈/1鸣卡卡罗/0鸣菲比/0鸣守岸人/0鸣相里要/0鸣折枝/0鸣长离/0鸣今汐/0鸣吟霖/0鸣忌炎/0鸣安可/0鸣凌阳/0鸣鉴心/1鸣和光回唱/1鸣星序协响/1鸣琼枝冰绡/1鸣掣傀之手/1鸣漪澜浮录/1鸣诸方玄枢/1鸣赫奕流明/1鸣苍鳞千嶂/1鸣千古洑流
22,35852652,50,官服,52,11,6,3,159,0,0,1,1,1.99,676.99,13.540,6鸣x1 4鸣x3 3鸣x1 2鸣x1 1鸣x4 0鸣x6,1鸣x3,联觉等级:52 总黄数:11 五星角色数:6 五星武器数:3 1鸣鉴心，1鸣卡卡罗，0鸣坎特蕾拉，0鸣椿，0鸣安可，0鸣维里奈 6鸣渊武，4鸣丹瑾，4鸣炽霞，4鸣白芷，3鸣散华，2鸣桃祈，1鸣灯灯，1鸣秧秧，0鸣莫特斐，0鸣秋水 1鸣裁春，1鸣血誓盟约，1鸣漪澜浮录
23,33672237,130,官服,80,33,15,8,106,0,0,14,14,14.66,1734.66,13.344,6鸣x11 2鸣x1 1鸣x6 0鸣x9,2鸣x2 1鸣x6,联觉等级:80 总黄数:33 五星角色数:15 五星武器数:8 2鸣维里奈，1鸣珂莱塔，1鸣今汐，1鸣鉴心，1鸣卡卡罗，1鸣安可，1鸣凌阳，0鸣琳奈，0鸣千咲，0鸣弗洛洛，0鸣卡提希娅，0鸣椿，0鸣守岸人，0鸣相里要，0鸣长离 6鸣灯灯，6鸣釉瑚，6鸣桃祈，6鸣渊武，6鸣莫特斐，6鸣丹瑾，6鸣秋水，6鸣散华，6鸣炽霞，6鸣白芷，6鸣秧秧，0鸣卜灵 2鸣不屈命定之冠，2鸣千古洑流，1鸣死与舞，1鸣裁春，1鸣星序协响，1鸣时和岁稔，1鸣苍鳞千嶂，1鸣血誓盟约
24,35518073,100,官服,71,28,10,8,129,0,0,2,2,2.81,1322.81,13.228,6鸣x10 3鸣x1 2鸣x3 1鸣x4 0鸣x4,3鸣x1 1鸣x7,联觉等级:71 总黄数:28 五星角色数:10 五星武器数:8 2鸣安可，2鸣维里奈，1鸣卡提希娅，1鸣今汐，1鸣鉴心，1鸣卡卡罗，0鸣千咲，0鸣珂莱塔，0鸣折枝，0鸣凌阳 6鸣釉瑚，6鸣桃祈，6鸣渊武，6鸣莫特斐，6鸣丹瑾，6鸣秋水，6鸣散华，6鸣炽霞，6鸣白芷，6鸣秧秧，3鸣灯灯，2鸣卜灵 3鸣血誓盟约，1鸣不屈命定之冠，1鸣死与舞，1鸣时和岁稔，1鸣掣傀之手，1鸣苍鳞千嶂，1鸣停驻之烟，1鸣漪澜浮录 卖家说:有练度，自玩
25,5792972,45,官服,47,10,5,3,0,0,0,0,0,0.00,595.00,13.222,6鸣x2 5鸣x1 4鸣x1 3鸣x2 2鸣x2 1鸣x3 0鸣x3,1鸣x3,"总黄数: 10 联觉等级: 47 拥有五星共鸣者: 忌炎,鉴心,安可,维里奈,今汐 拥有五星武器: 苍鳞千嶂,千古洑流,时和岁稔 亮点: 有些时间没玩了，随缘出"
26,34820596,80,官服,64,18,9,5,141,0,0,10,10,10.88,1055.88,13.199,6鸣x3 5鸣x2 4鸣x1 3鸣x1 2鸣x4 1鸣x3 0鸣x6,1鸣x5,联觉等级:64 总黄数:18 五星角色数:9 五星武器数:5 2鸣鉴心，1鸣珂莱塔，1鸣卡卡罗，0鸣琳奈，0鸣坎特蕾拉，0鸣折枝，0鸣今汐，0鸣忌炎，0鸣维里奈 6鸣莫特斐，6鸣丹瑾，6鸣炽霞，5鸣秋水，5鸣白芷，4鸣釉瑚，3鸣渊武，2鸣桃祈，2鸣散华，2鸣秧秧，1鸣灯灯 1鸣溢彩荧辉，1鸣死与舞，1鸣血誓盟约，1鸣浩境粼光，1鸣千古洑流
27,35817834,126,官服,71,30,14,8,154,0,2,0,2,2.96,1642.96,13.039,2鸣x1 1鸣x2 0鸣x11,4鸣x1 1鸣x7,"71级/30黄/男主/14个五星角色/9个五星武器
未绑定,陆·赫斯,弗洛洛,奥古斯塔,布兰特,椿,今汐,珂莱塔,相里要,忌炎,维里奈,卡卡罗,鉴心,安可,凌阳,白昼之脊,镭射切变,幽冥的忘忧章,血誓盟约,时和岁稔,浩境粼光,千古洑流,停驻之烟,2命鉴心,1命陆·赫斯,1命卡卡罗,0命弗洛洛,0命奥古斯塔,0命布兰特,0命椿,0命今汐,0命珂莱塔,0命相里要,0命忌炎,0命维里奈,0命安可,0命凌阳,精4血誓盟约,精1白昼之脊,精1镭射切变,精1幽冥的忘忧章,精1时和岁稔,精1浩境粼光,精1千古洑流,精1停驻之烟"
28,35695176,60,官服,44,12,8,2,1134,3,0,0,3,10.09,780.09,13.001,6鸣x2 5鸣x2 4鸣x1 3鸣x1 2鸣x3 1鸣x3 0鸣x6,1鸣x2,联觉等级:44 总黄数:12 五星角色数:8 五星武器数:2 1鸣安可，1鸣维里奈，0鸣嘉贝莉娜，0鸣守岸人，0鸣今汐，0鸣忌炎，0鸣鉴心，0鸣卡卡罗 6鸣炽霞，6鸣秧秧，5鸣桃祈，5鸣散华，4鸣渊武，3鸣丹瑾，2鸣莫特斐，2鸣秋水，2鸣白芷，1鸣灯灯 1鸣星序协响，1鸣时和岁稔
29,35347934,150,官服,80,38,15,11,1384,10,0,10,20,28.65,1943.65,12.958,6鸣x10 5鸣x1 3鸣x3 2鸣x1 1鸣x1 0鸣x10,1鸣x11,联觉等级:80 总黄数:38 五星角色数:15 五星武器数:11 3鸣露帕，3鸣鉴心，3鸣卡卡罗，2鸣维里奈，1鸣赞妮，0鸣琳奈，0鸣嘉贝莉娜，0鸣布兰特，0鸣菲比，0鸣珂莱塔，0鸣相里要，0鸣长离，0鸣忌炎，0鸣安可，0鸣凌阳 6鸣釉瑚，6鸣桃祈，6鸣渊武，6鸣莫特斐，6鸣丹瑾，6鸣秋水，6鸣散华，6鸣炽霞，6鸣白芷，6鸣秧秧，5鸣灯灯 1鸣相位涟漪，1鸣光影双生，1鸣焰痕，1鸣焰光裁定，1鸣不灭航路，1鸣和光回唱，1鸣赫奕流明，1鸣苍鳞千嶂，1鸣血誓盟约，1鸣千古洑流，1鸣停驻之烟 卖家说:账号等级满级，光燥队，火队，风队配队齐全，武器齐全，鉴心三命可以快速六命，到手就是成品号，地图资源很多，因为是小号没怎么探索，但是绝版称号没少
30,35487773,150,官服,80,32,16,10,13,3,0,0,3,3.08,1933.08,12.887,6鸣x9 4鸣x2 3鸣x1 2鸣x1 1鸣x2 0鸣x13,2鸣x1 1鸣x9,联觉等级:80 总黄数:32 五星角色数:16 五星武器数:10 3鸣鉴心，1鸣今汐，1鸣维里奈，0鸣绯雪，0鸣西格莉卡，0鸣琳奈，0鸣尤诺，0鸣奥古斯塔，0鸣露帕，0鸣卡提希娅，0鸣折枝，0鸣吟霖，0鸣忌炎，0鸣卡卡罗，0鸣安可，0鸣凌阳 6鸣釉瑚，6鸣桃祈，6鸣渊武，6鸣丹瑾，6鸣秋水，6鸣散华，6鸣炽霞，6鸣白芷，6鸣秧秧，4鸣卜灵，4鸣莫特斐，2鸣灯灯 2鸣相位涟漪，1鸣昭日译注，1鸣不屈命定之冠，1鸣时和岁稔，1鸣掣傀之手，1鸣苍鳞千嶂，1鸣血誓盟约，1鸣千古洑流，1鸣擎渊怒涛，1鸣漪澜浮录
31,35934753,126,官服,62,27,12,10,132,2,1,2,5,5.83,1615.83,12.824,3鸣x1 1鸣x2 0鸣x9,1鸣x10,"62级/27黄/男主/12个五星角色/10个五星武器
未绑定,夏空,弗洛洛,尤诺,今汐,守岸人,相里要,吟霖,折枝,维里奈,卡卡罗,鉴心,凌阳,万物持存的注释,血誓盟约,诸方玄枢,时和岁稔,掣傀之手,浩境粼光,千古洑流,停驻之烟,擎渊怒涛,漪澜浮录,3命卡卡罗,1命相里要,1命鉴心,0命夏空,0命弗洛洛,0命尤诺,0命今汐,0命守岸人,0命吟霖,0命折枝,0命维里奈,0命凌阳,精1万物持存的注释,精1血誓盟约,精1诸方玄枢,精1时和岁稔,精1掣傀之手,精1浩境粼光,精1千古洑流,精1停驻之烟,精1擎渊怒涛,精1漪澜浮录"
32,34531850,100,官服,72,20,10,7,0,0,0,0,0,0.00,1255.00,12.550,2鸣x1 1鸣x1 0鸣x8,1鸣x7,72级/20黄/男主/10个五星角色/7个五星武器/未绑定/维里奈/卡卡罗/忌炎/今汐/吟霖/鉴心/折枝/椿/相里要/凌阳/掣傀之手/千古洑流/苍鳞千嶂/诸方玄枢/琼枝冰绡/浩境粼光/裁春/2鸣维里奈/1鸣卡卡罗/0鸣忌炎/0鸣今汐/0鸣吟霖/0鸣鉴心/0鸣折枝/0鸣椿/0鸣相里要/0鸣凌阳/1鸣掣傀之手/1鸣千古洑流/1鸣苍鳞千嶂/1鸣诸方玄枢/1鸣琼枝冰绡/1鸣浩境粼光/1鸣裁春
33,34189208,100,官服,67,27,9,8,8,0,0,2,2,2.05,1242.05,12.420,6鸣x6 3鸣x2 2鸣x5 1鸣x1 0鸣x7,1鸣x8,联觉等级:67 总黄数:27 2鸣相里要，2鸣卡卡罗，1鸣维里奈，0鸣西格莉卡，0鸣尤诺，0鸣洛可可，0鸣椿，0鸣吟霖，0鸣鉴心 6鸣桃祈，6鸣渊武，6鸣丹瑾，6鸣秋水，6鸣炽霞，6鸣秧秧，3鸣釉瑚，3鸣散华，2鸣灯灯，2鸣莫特斐，2鸣白芷，0鸣卜灵 1鸣相位涟漪，1鸣万物持存的注释，1鸣幽冥的忘忧章，1鸣诸方玄枢，1鸣掣傀之手，1鸣血誓盟约，1鸣浩境粼光，1鸣千古洑流
34,35634432,100,官服,69,23,9,8,70,0,0,1,1,1.44,1241.44,12.414,6鸣x8 5鸣x2 3鸣x1 2鸣x1 1鸣x1 0鸣x8,5鸣x1 1鸣x7,联觉等级:69 总黄数:23 五星角色数:9 五星武器数:8 2鸣卡卡罗，0鸣绯雪，0鸣莫宁，0鸣琳奈，0鸣千咲，0鸣弗洛洛，0鸣卡提希娅，0鸣鉴心，0鸣维里奈 6鸣釉瑚，6鸣桃祈，6鸣莫特斐，6鸣丹瑾，6鸣秋水，6鸣散华，6鸣白芷，6鸣秧秧，5鸣卜灵，5鸣渊武，3鸣炽霞，1鸣灯灯 5鸣血誓盟约，1鸣灼霜，1鸣宙算仪轨，1鸣镭射切变，1鸣昙切，1鸣浩境粼光，1鸣千古洑流，1鸣漪澜浮录
